original,english,french,espanol,italiano,german,dutch,
forgot wifi password?,forgot wifi password?,Mot de passe Wi-Fi oublié ?,¿Olvidó la contraseña del wifi?,password wifi dimenticata?,WLAN-Passwort vergessen?,wifi-wachtwoord vergeten?,
restoreenterWifiCM1.component,restoreenterWifiCM1.component,restoreenterWifiCM1.component,restoreenterWifiCM1.component,restoreenterWifiCM1.component,restoreenterWifiCM1.component,restoreenterWifiCM1.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Your location is,Your location is,Votre position est,tu ubicación es,La tua posizione è,Ihr Standort ist,Uw locatie is,
home address,home address,adresse du domicile,direccion de casa,indirizzo di casa,Heimatadresse,thuisadres,
You have more than one modem. To restore your settings you need to choose which one you are replacing and enter the&nbsp; old wifi password.,You have more than one modem. To restore your settings you need to choose which one you are replacing and enter the&nbsp; old wifi password.,"Vous avez plus d'un modem. Pour restaurer vos paramètres, vous devez choisir celui que vous remplacez et saisir le&nbsp; ancien mot de passe wifi.","Tienes más de un módem. Para restaurar su configuración, debe elegir cuál está reemplazando e ingresar el&nbsp; antigua contraseña wifi.",Hai più di un modem. Per ripristinare le tue impostazioni devi scegliere quale stai sostituendo e inserire il&nbsp; vecchia password Wi-Fi.,"Sie haben mehr als ein Modem. Um Ihre Einstellungen wiederherzustellen, müssen Sie auswählen, welche Sie ersetzen möchten, und das&nbsp; altes WLAN-Passwort.","U hebt meer dan één modem. Om uw instellingen te herstellen, moet u kiezen welke u vervangt en de&nbsp; oud wifi-wachtwoord.",
Which modem are you replacing?,Which modem are you replacing?,Quel modem remplacez-vous ?,¿Qué módem estás reemplazando?,Quale modem stai sostituendo?,Welches Modem tauschen Sie aus?,Welk modem ga je vervangen?,
Enter the old wifi password,Enter the old wifi password,Entrez l'ancien mot de passe Wi-Fi,Ingrese la contraseña wifi anterior,Inserisci la vecchia password Wi-Fi,Geben Sie das alte WLAN-Passwort ein,Voer het oude wifi-wachtwoord in,
Restore settings,Restore settings,Restaurer les paramètres,Restaurar configuracion,Ripristina impostazioni,Einstellungen zurücksetzen,Instellingen herstellen,
don't remember?,don't remember?,tu ne te souviens pas?,no recuerdas?,non ricordi?,erinnerst du dich nicht?,weet je het niet meer?,
restorelogin.component,restorelogin.component,restorelogin.component,restorelogin.component,restorelogin.component,restorelogin.component,restorelogin.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Welcome back to the Quick Connect process.,Welcome back to the Quick Connect process.,Bienvenue dans le processus de connexion rapide.,Bienvenido de nuevo al proceso de Quick Connect.,Bentornati al processo Quick Connect.,Willkommen zurück beim Quick Connect-Prozess.,Welkom terug bij het Quick Connect-proces.,
"To continue, sign back into your Liberty account","To continue, sign back into your Liberty account","Pour continuer, reconnectez-vous à votre compte Liberty","Para continuar, vuelva a iniciar sesión en su cuenta de Liberty","Per continuare, accedi nuovamente al tuo account Liberty","Um fortzufahren, melden Sie sich wieder bei Ihrem Liberty-Konto an",Meld u opnieuw aan bij uw Liberty-account om door te gaan,
Connect,Connect,Relier,Conectar,Collegare,Verbinden,Aansluiten,
forgot password?,forgot password?,mot de passe oublié?,¿Has olvidado tu contraseña?,Ha dimenticato la password?,Passwort vergessen?,Wachtwoord vergeten?,
restoresettings.component,restoresettings.component,restoresettings.component,restoresettings.component,restoresettings.component,restoresettings.component,restoresettings.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Welcome back to the Quick Connect process.,Welcome back to the Quick Connect process.,Bienvenue dans le processus de connexion rapide.,Bienvenido de nuevo al proceso de Quick Connect.,Bentornati al processo Quick Connect.,Willkommen zurück beim Quick Connect-Prozess.,Welkom terug bij het Quick Connect-proces.,
Your location is:,Your location is:,Votre emplacement est :,Tu ubicación es:,La tua posizione è:,Ihr Standort ist:,Uw locatie is:,
home address,home address,adresse du domicile,direccion de casa,indirizzo di casa,Heimatadresse,thuisadres,
Your new modem is now swapped with your old modem. You need to finish the Quick Connect process to set up your new modem with your previous settings and restore all your services.,Your new modem is now swapped with your old modem. You need to finish the Quick Connect process to set up your new modem with your previous settings and restore all your services.,Votre nouveau modem est maintenant remplacé par votre ancien modem. Vous devez terminer le processus de connexion rapide pour configurer votre nouveau modem avec vos paramètres précédents et restaurer tous vos services.,Su nuevo módem ahora se intercambia con su antiguo módem. Debe finalizar el proceso de conexión rápida para configurar su nuevo módem con su configuración anterior y restaurar todos sus servicios.,Il tuo nuovo modem è ora scambiato con il tuo vecchio modem. È necessario completare il processo di connessione rapida per configurare il nuovo modem con le impostazioni precedenti e ripristinare tutti i servizi.,"Ihr neues Modem ist nun gegen Ihr altes Modem ausgetauscht. Sie müssen den Schnellverbindungsprozess abschließen, um Ihr neues Modem mit Ihren vorherigen Einstellungen einzurichten und alle Ihre Dienste wiederherzustellen.",Je nieuwe modem is nu verwisseld met je oude modem. U moet het Quick Connect-proces voltooien om uw nieuwe modem in te stellen met uw vorige instellingen en al uw services te herstellen.,
"First, RESTORE SETTINGS to update your new modem with your previous settings.","First, RESTORE SETTINGS to update your new modem with your previous settings.","Tout d'abord, RESTORE SETTINGS pour mettre à jour votre nouveau modem avec vos paramètres précédents.","Primero, RESTAURAR CONFIGURACIÓN para actualizar su nuevo módem con su configuración anterior.","Innanzitutto, RIPRISTINA IMPOSTAZIONI per aggiornare il nuovo modem con le impostazioni precedenti.","Stellen Sie zunächst EINSTELLUNGEN WIEDERHER, um Ihr neues Modem mit Ihren vorherigen Einstellungen zu aktualisieren.",HERSTEL INSTELLINGEN eerst om uw nieuwe modem bij te werken met uw vorige instellingen.,
Enter the modem nickname,Enter the modem nickname,Entrez le pseudo du modem,Introduzca el apodo del módem,Immettere il nickname del modem,Geben Sie den Kurznamen des Modems ein,Voer de bijnaam van het modem in,
Restore settings,Restore settings,Restaurer les paramètres,Restaurar configuracion,Ripristina impostazioni,Einstellungen zurücksetzen,Instellingen herstellen,
restoresettingsretry.component,restoresettingsretry.component,restoresettingsretry.component,restoresettingsretry.component,restoresettingsretry.component,restoresettingsretry.component,restoresettingsretry.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Your location is:,Your location is:,Votre emplacement est :,Tu ubicación es:,La tua posizione è:,Ihr Standort ist:,Uw locatie is:,
The nickname you entered does not exist. Please try again.,The nickname you entered does not exist. Please try again.,Le surnom que vous avez saisi n'existe pas. Veuillez réessayer.,El apodo que ingresaste no existe. Inténtalo de nuevo.,Il nickname che hai inserito non esiste. Per favore riprova.,Der eingegebene Spitzname existiert nicht. Bitte versuche es erneut.,De bijnaam die je hebt ingevoerd bestaat niet. Probeer het opnieuw.,
Enter the modem nickname,Enter the modem nickname,Entrez le pseudo du modem,Introduzca el apodo del módem,Immettere il nickname del modem,Geben Sie den Kurznamen des Modems ein,Voer de bijnaam van het modem in,
Restore settings,Restore settings,Restaurer les paramètres,Restaurar configuracion,Ripristina impostazioni,Einstellungen zurücksetzen,Instellingen herstellen,
savesettings.component,savesettings.component,savesettings.component,savesettings.component,savesettings.component,savesettings.component,savesettings.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Your location is,Your location is,Votre position est,tu ubicación es,La tua posizione è,Ihr Standort ist,Uw locatie is,
home address,home address,adresse du domicile,direccion de casa,indirizzo di casa,Heimatadresse,thuisadres,
Make sure your old modem is plugged in and on. Give your modem a nickname - it will be needed when you restore your settings on the new modem. SAVE SETTINGS. This should take ?? minutes.,Make sure your old modem is plugged in and on. Give your modem a nickname - it will be needed when you restore your settings on the new modem. SAVE SETTINGS. This should take ?? minutes.,Assurez-vous que votre ancien modem est branché et allumé. Donnez un surnom à votre modem - il sera nécessaire lorsque vous restaurerez vos paramètres sur le nouveau modem. ENREGISTRER LES PARAMÈTRES. Cela devrait prendre ?? minutes.,Asegúrate de que tu antiguo módem esté enchufado y encendido. Dale un apodo a tu módem; será necesario cuando restablezcas la configuración en el nuevo módem. GUARDAR AJUSTES. Esto debe tomar ?? minutos.,Assicurati che il tuo vecchio modem sia collegato e acceso. Assegna un soprannome al tuo modem: sarà necessario quando ripristinerai le impostazioni sul nuovo modem. SALVA LE IMPOSTAZIONI. Questo dovrebbe richiedere ?? minuti.,"Stellen Sie sicher, dass Ihr altes Modem eingesteckt und eingeschaltet ist. Geben Sie Ihrem Modem einen Spitznamen – er wird benötigt, wenn Sie Ihre Einstellungen auf dem neuen Modem wiederherstellen. EINSTELLUNGEN SPEICHERN. Das soll dauern?? Protokoll.",Zorg ervoor dat uw oude modem is aangesloten en ingeschakeld. Geef uw modem een ​​bijnaam - deze is nodig wanneer u uw instellingen op de nieuwe modem herstelt. INSTELLINGEN OPSLAAN. Dit zou moeten duren ?? minuten.,
Give your modem a nickname,Give your modem a nickname,Donnez un surnom à votre modem,Dale un apodo a tu módem,Dai un soprannome al tuo modem,Geben Sie Ihrem Modem einen Spitznamen,Geef je modem een ​​bijnaam,
Save settings,Save settings,Enregistrer les paramètres,Guardar ajustes,Salva le impostazioni,Einstellungen speichern,Instellingen opslaan,
start.component,start.component,start.component,start.component,start.component,start.component,start.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Welcome to the Quick Connect process to replace your old modem with your new improved modem.,Welcome to the Quick Connect process to replace your old modem with your new improved modem.,Bienvenue dans le processus de connexion rapide pour remplacer votre ancien modem par votre nouveau modem amélioré.,Bienvenido al proceso de conexión rápida para reemplazar su antiguo módem con su nuevo módem mejorado.,Benvenuto nel processo Quick Connect per sostituire il tuo vecchio modem con il tuo nuovo modem migliorato.,"Willkommen beim Quick Connect-Prozess, um Ihr altes Modem durch Ihr neues, verbessertes Modem zu ersetzen.","Welkom bij het Quick Connect-proces om uw oude modem te vervangen door uw nieuwe, verbeterde modem.",
In the box with your new modem you will find:,In the box with your new modem you will find:,"Dans la boîte de votre nouveau modem, vous trouverez :",En la caja con tu nuevo módem encontrarás:,Nella confezione del tuo nuovo modem troverai:,In der Verpackung Ihres neuen Modems finden Sie:,In de doos met je nieuwe modem vind je:,
modem,modem,modem,módem,modem,Modem,modem,
power adaptor,power adaptor,adaptateur secteur,adaptador de corriente,adattatore di alimentazione,Netzteil,voedingsadapter,
instructions,instructions,des instructions,instrucciones,Istruzioni,Anweisungen,instructies,
box for the return of your old modem,box for the return of your old modem,boîte pour le retour de votre ancien modem,caja para la devolución de tu antiguo módem,box per la restituzione del tuo vecchio modem,Box für die Rückgabe Ihres alten Modems,box voor het inleveren van uw oude modem,
Don't disconnect your old modem yet.,Don't disconnect your old modem yet.,Ne déconnectez pas encore votre ancien modem.,No desconectes tu antiguo módem todavía.,Non disconnettere ancora il tuo vecchio modem.,Trennen Sie Ihr altes Modem noch nicht.,Koppel uw oude modem nog niet los.,
The process should take you 15 to 20 minutes.,The process should take you 15 to 20 minutes.,Le processus devrait vous prendre 15 à 20 minutes.,El proceso debería llevarte de 15 a 20 minutos.,Il processo dovrebbe richiedere dai 15 ai 20 minuti.,Der Vorgang sollte 15 bis 20 Minuten dauern.,Het proces duurt 15 tot 20 minuten.,
To simplify the installation of your new modem we will save your present settings. First we need to identify you.,To simplify the installation of your new modem we will save your present settings. First we need to identify you.,"Pour simplifier l'installation de votre nouveau modem, nous enregistrerons vos paramètres actuels. Nous devons d'abord vous identifier.","Para simplificar la instalación de su nuevo módem, guardaremos su configuración actual. Primero necesitamos identificarte.",Per semplificare l'installazione del tuo nuovo modem salveremo le tue attuali impostazioni. Per prima cosa dobbiamo identificarti.,"Um die Installation Ihres neuen Modems zu vereinfachen, speichern wir Ihre aktuellen Einstellungen. Zuerst müssen wir Sie identifizieren.","Om de installatie van uw nieuwe modem te vereenvoudigen, slaan we uw huidige instellingen op. Eerst moeten we u identificeren.",
Either,Either,Soit,O,O,Entweder,Of,
Share your location,Share your location,Partagez votre position,Comparte tu ubicación,Condividi la tua posizione,Teilen Sie Ihren Standort,Deel je locatie,
(You will get a second request from Google).,(You will get a second request from Google).,(Vous recevrez une deuxième demande de Google).,(Recibirá una segunda solicitud de Google).,(Riceverai una seconda richiesta da Google).,(Sie erhalten eine zweite Anfrage von Google).,(Je krijgt een tweede verzoek van Google).,
Or,Or,Ou,O,O,Oder,Of,
startSwap.component,startSwap.component,startSwap.component,startSwap.component,startSwap.component,startSwap.component,startSwap.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Your location is,Your location is,Votre emplacement est,tu ubicación es,La tua posizione è,Ihr Standort ist,Uw locatie is,
Your settings are now saved. You can now swap over the old and new modems. Follow the instructions that came with the new modem. These instruction can also be downloaded here:,Your settings are now saved. You can now swap over the old and new modems. Follow the instructions that came with the new modem. These instruction can also be downloaded here:,Vos paramètres sont maintenant enregistrés. Vous pouvez maintenant échanger l'ancien et le nouveau modem. Suivez les instructions fournies avec le nouveau modem. Ces instructions peuvent également être téléchargées ici :,Su configuración ahora está guardada. Ahora puede intercambiar los módems antiguo y nuevo. Siga las instrucciones que vienen con el nuevo módem. Estas instrucciones también se pueden descargar aquí:,Le tue impostazioni sono ora salvate. Ora puoi sostituire il vecchio e il nuovo modem. Segui le istruzioni fornite con il nuovo modem. Queste istruzioni possono anche essere scaricate qui:,"Ihre Einstellungen sind nun gespeichert. Sie können jetzt das alte und das neue Modem austauschen. Befolgen Sie die Anweisungen, die mit dem neuen Modem geliefert wurden. Diese Anleitung kann auch hier heruntergeladen werden:",Uw instellingen zijn nu opgeslagen. U kunt nu de oude en nieuwe modems omwisselen. Volg de instructies die bij de nieuwe modem zijn geleverd. Deze instructie is ook hier te downloaden:,
How to swap modems,How to swap modems,Comment échanger des modems,Cómo intercambiar módems,Come scambiare i modem,Wie man Modems austauscht,Modems verwisselen,
When you unplug the old modem you will lose your internet connection and services. When the new modem has started reconnect to the wifi,When you unplug the old modem you will lose your internet connection and services. When the new modem has started reconnect to the wifi,"Lorsque vous débranchez l'ancien modem, vous perdez votre connexion Internet et vos services. Lorsque le nouveau modem a démarré, reconnectez-vous au wifi","Cuando desconecte el módem antiguo, perderá su conexión a Internet y sus servicios. Cuando el nuevo módem haya comenzado, vuelva a conectarse al wifi","Quando scolleghi il vecchio modem, perderai la connessione Internet e i servizi. Quando il nuovo modem è partito riconnettersi al wifi","Wenn Sie das alte Modem ausstecken, verlieren Sie Ihre Internetverbindung und -dienste. Wenn das neue Modem gestartet wurde, verbinden Sie sich erneut mit dem WLAN","Wanneer u de oude modem loskoppelt, verliest u uw internetverbinding en services. Wanneer de nieuwe modem is gestart, maakt u opnieuw verbinding met wifi",
and return to the web page,and return to the web page,et retour à la page web,y volver a la página web,e tornare alla pagina web,und zurück zur Webseite,en keer terug naar de webpagina,
Don't forget to put the old modem and power adaptor in the return box and send it back.,Don't forget to put the old modem and power adaptor in the return box and send it back.,N'oubliez pas de mettre l'ancien modem et l'adaptateur secteur dans la boîte de retour et de le renvoyer.,No olvide colocar el módem y el adaptador de corriente antiguos en la caja de devolución y devolverlos.,Non dimenticare di mettere il vecchio modem e l'alimentatore nella scatola dei resi e rispedircelo.,"Vergessen Sie nicht, das alte Modem und Netzteil in den Rückgabekarton zu legen und zurückzusenden.",Vergeet niet het oude modem en de stroomadapter in de retourdoos te doen en terug te sturen.,
equipdetails.component,equipdetails.component,equipdetails.component,equipdetails.component,equipdetails.component,equipdetails.component,equipdetails.component,
Equipment details,Equipment details,Détails de l'équipement,Detalles del equipo,Dettagli dell'attrezzatura,Ausstattungsdetails,Uitrusting details,
Status,Status,Statut,Estado,Stato,Status,Toestand,
Authorise,Authorise,Autoriser,Autorizar,Autorizzare,Autorisieren,Toestemming geven,
Model,Model,Modèle,Modelo,Modello,Modell,Model,
connection details,connection details,détails de connexion,detalles de conexión,dettagli di connessione,Verbindungsdetails,verbindingsgegevens,
Connexion type,Connexion type,Type de connexion,Tipo de conexión,Tipo di connessione,Verbindungstyp,Type verbinding,
Signal,Signal,Signal,Señal,Segnale,Signal,Signaal,
IP address,IP address,adresse IP,dirección IP,indirizzo IP,IP Adresse,IP adres,
First connection,First connection,Première connexion,Primera conexión,Primo collegamento,Erste Verbindung,Eerste verbinding,
Last connection,Last connection,Dernière connexion,última conexión,Ultima connessione,Letzte Verbindung,Laatste verbinding,
Details,Details,Détails,Detalles,Particolari,Einzelheiten,Details,
networkdetails.component,networkdetails.component,networkdetails.component,networkdetails.component,networkdetails.component,networkdetails.component,networkdetails.component,
Network,Network,Réseau,La red,Rete,Netzwerk,Netwerk,
Wifi nickname,Wifi nickname,Surnom Wi-Fi,apodo wifi,Soprannome Wi-Fi,WLAN-Spitzname,Wifi-bijnaam,
Nickname,Nickname,Surnom,Apodo,Soprannome,Spitzname,Bijnaam,
Password,Password,Mot de passe,Clave,Parola d'ordine,Passwort,Wachtwoord,
Guest,Guest,Invité,Invitado,Ospite,Gast,Gast,
Status,Status,Statut,Estado,Stato,Status,Toestand,
access speed OK,access speed OK,vitesse d'accès OK,velocidad de acceso OK,velocità di accesso OK,Zugriffsgeschwindigkeit OK,toegangssnelheid OK,
last measured,last measured,dernière mesure,última medida,ultima misurata,zuletzt gemessen,laatst gemeten,
networkequip.component,networkequip.component,networkequip.component,networkequip.component,networkequip.component,networkequip.component,networkequip.component,
Equipment,Equipment,Équipement,Equipo,Attrezzatura,Ausrüstung,Apparatuur,
equipment connected,equipment connected,équipement connecté,equipo conectado,apparecchiature collegate,Geräte angeschlossen,apparatuur aangesloten,
Online,Online,En ligne,En línea,in linea,Online,Online,
Offline,Offline,Hors ligne,Desconectado,disconnesso,Offline,offline,
last seen xx min ago,last seen xx min ago,vue pour la dernière fois il y a xx min,visto por última vez hace xx min,visto l'ultima volta xx min fa,zuletzt gesehen vor xx min,laatst gezien xx min geleden,
networkoverview.component,networkoverview.component,networkoverview.component,networkoverview.component,networkoverview.component,networkoverview.component,networkoverview.component,
Network,Network,Réseau,La red,Rete,Netzwerk,Netwerk,
address,address,adresse,Dirección,indirizzo,die Anschrift,adres,
Network nickname,Network nickname,Pseudo réseau,Apodo de red,Soprannome di rete,Netzwerk-Spitzname,Netwerk bijnaam,
working,working,travail,laboral,Lavorando,Arbeiten,werken,
Wifi password,Wifi password,Mot de passe WiFi,Contraseña de wifi,Password Wi-Fi,WLAN Passwort,Wifi wachtwoord,
Details,Details,Détails,Detalles,Particolari,Einzelheiten,Details,
Equipment,Equipment,Équipement,Equipo,Attrezzatura,Ausrüstung,Apparatuur,
account,account,Compte,cuenta,account,Konto,account,
account approved,account approved,compte approuvé,cuenta aprobada,conto approvato,Konto genehmigt,rekening goedgekeurd,
account not approved,account not approved,compte non approuvé,cuenta no aprobada,conto non approvato,Konto nicht genehmigt,rekening niet goedgekeurd,
location has connection point,location has connection point,l'emplacement a un point de connexion,la ubicación tiene un punto de conexión,la posizione ha un punto di connessione,Standort hat Anschlusspunkt,locatie heeft aansluitpunt,
Find,Find,Trouver,Encontrar,Trova,Finden,Vind,
location servicable,location servicable,emplacement utilisable,ubicación útil,posizione utile,Standort bedienbar,locatie bereikbaar,
need to confirm serviceability,need to confirm serviceability,besoin de confirmer l'état de fonctionnement,necesita confirmar la capacidad de servicio,è necessario confermare la funzionalità,müssen die Betriebsfähigkeit bestätigen,moet de bruikbaarheid bevestigen,
Check eligibility,Check eligibility,Vérifier l'éligibilité,Verificar elegibilidad,Verifica l'idoneità,Berechtigung prüfen,Controleer geschiktheid,
Location not yet serviceable,Location not yet serviceable,Emplacement pas encore utilisable,Ubicación aún no reparable,Posizione non ancora riparabile,Standort noch nicht nutzbar,Locatie nog niet bruikbaar,
Register interest,Register interest,Enregistrer l'intérêt,Registrar interés,Registrati interesse,Interesse anmelden,Interesse registreren,
Order confirmed,Order confirmed,Commande confirmée,Orden confirmada,Ordine confermato,Bestellung bestätigt,Order bevestigd,
Order in process,Order in process,Commande en cours,Pedido en proceso,Ordine in lavorazione,Bestellung in Bearbeitung,Bestelling bezig,
Order needs to be confirmed,Order needs to be confirmed,La commande doit être confirmée,El pedido necesita ser confirmado,L'ordine deve essere confermato,Bestellung muss bestätigt werden,Bestelling moet worden bevestigd,
More,More,Suite,Más,Di più,Mehr,Meer,
Looks like you have all you need to connect to our services,Looks like you have all you need to connect to our services,Il semble que vous disposiez de tout ce dont vous avez besoin pour vous connecter à nos services,Parece que tiene todo lo que necesita para conectarse a nuestros servicios,Sembra che tu abbia tutto ciò che ti serve per connetterti ai nostri servizi,"Sieht so aus, als hätten Sie alles, was Sie brauchen, um sich mit unseren Diensten zu verbinden",Het lijkt erop dat je alles hebt wat je nodig hebt om verbinding te maken met onze services,
Install your equipment now,Install your equipment now,Installez votre équipement maintenant,Instale su equipo ahora,Installa ora la tua attrezzatura,Installieren Sie jetzt Ihre Ausrüstung,Installeer nu uw apparatuur,
connectiondetails.component,connectiondetails.component,connectiondetails.component,connectiondetails.component,connectiondetails.component,connectiondetails.component,connectiondetails.component,
Connection,Connection,Lien,Conexión,Connessione,Verbindung,Verbinding,
You are waiting for a technician to connect you,You are waiting for a technician to connect you,Vous attendez qu'un technicien vous connecte,Estás esperando a que un técnico te conecte,Stai aspettando che un tecnico ti colleghi,"Sie warten auf einen Techniker, der Sie verbindet",U wacht op een technicus om u door te verbinden,
You have a technician booked for the dd/mm/yyyy,You have a technician booked for the dd/mm/yyyy,Vous avez un technicien réservé pour le jj/mm/aaaa,Tienes un técnico reservado para el dd/mm/yyyy,Hai un tecnico prenotato per il gg/mm/aaaa,Sie haben einen Techniker für den TT/MM/JJJJ gebucht,U heeft een monteur geboekt voor dd/mm/jjjj,
connectionmore.component,connectionmore.component,connectionmore.component,connectionmore.component,connectionmore.component,connectionmore.component,connectionmore.component,connectionmore.component
You need a technician to connect you to the network,You need a technician to connect you to the network,Vous avez besoin d'un technicien pour vous connecter au réseau,Necesitas un técnico para conectarte a la red,Hai bisogno di un tecnico per connetterti alla rete,"Sie benötigen einen Techniker, der Sie mit dem Netzwerk verbindet",U hebt een technicus nodig om u op het netwerk aan te sluiten,
You need to book a technician. Either ring ###### or,You need to book a technician. Either ring ###### or,Vous devez réserver un technicien. Appelez ###### ou,Necesitas contratar un técnico. O suena ###### o,Devi prenotare un tecnico. O squilla ###### o,Sie müssen einen Techniker buchen. Entweder klingeln ###### oder,U moet een technicus boeken. Bel ###### of,
go to external link,go to external link,aller au lien externe,ir al enlace externo,vai al link esterno,Gehe zum externen Link,ga naar externe link,
deliverydetails.component,deliverydetails.component,deliverydetails.component,deliverydetails.component,deliverydetails.component,deliverydetails.component,deliverydetails.component,
You have requested delivery of your equipment,You have requested delivery of your equipment,Vous avez demandé la livraison de votre matériel,Ha solicitado la entrega de su equipo,Hai richiesto la consegna della tua attrezzatura,Sie haben die Lieferung Ihrer Ausrüstung angefordert,U heeft de levering van uw apparatuur aangevraagd,
delivery type,delivery type,type de livraison,tipo de entrega,tipo di consegna,Lieferart,leveringstype,
delivery in one hour,delivery in one hour,livraison en une heure,entrega en una hora,consegna in un'ora,Lieferung in einer Stunde,levering in een uur,
delivery date,delivery date,date de livraison,fecha de entrega,data di consegna,Lieferdatum,bezorgdatum,
order id,order id,numéro de commande,Solicitar ID,ID ordine,Auftragsnummer,Order ID,
order date,order date,date de commande,fecha de orden,data dell'ordine,Bestelldatum,besteldatum,
equipment,equipment,équipement,equipo,attrezzatura,Ausrüstung,apparatuur,
deliverymore.component,deliverymore.component,deliverymore.component,deliverymore.component,deliverymore.component,deliverymore.component,deliverymore.component,
Delivery,Delivery,Livraison,Entrega,Consegna,Lieferung,Levering,
You can now organise delivery of the equipment you have ordered,You can now organise delivery of the equipment you have ordered,Vous pouvez maintenant organiser la livraison du matériel que vous avez commandé,Ahora puede organizar la entrega del equipo que ha pedido,Ora puoi organizzare la consegna dell'attrezzatura che hai ordinato,Sie können nun die Lieferung der bestellten Geräte organisieren,U kunt nu de levering van de door u bestelde apparatuur regelen,
Choose the type of delivery you prefer,Choose the type of delivery you prefer,Choisissez le type de livraison que vous préférez,Elige el tipo de envío que prefieras,Scegli il tipo di consegna che preferisci,Wählen Sie die gewünschte Versandart,Kies het type bezorging dat u verkiest,
Collect at store,Collect at store,Retrait en magasin,recoger en tienda,Ritiro in negozio,Abholung im Geschäft,Ophalen in de winkel,
Choose your store,Choose your store,Choisissez votre magasin,Elige tu tienda,Scegli il tuo negozio,Wählen Sie Ihren Shop,Kies je winkel,
Confirm,Confirm,Confirmer,Confirmar,Confermare,Bestätigen,Bevestigen,
Delivery in 24 hours,Delivery in 24 hours,Livraison en 24h,Entrega en 24 horas,Consegna in 24 ore,Lieferung in 24 Stunden,Levering binnen 24 uur,
need to go to external site?,need to go to external site?,besoin d'aller sur un site externe?,¿Necesitas ir a un sitio externo?,devi andare su un sito esterno?,müssen Sie zu einer externen Website gehen?,moet je naar een externe site gaan?,
Delivery in one hour,Delivery in one hour,Livraison en une heure,Entrega en una hora,Consegna in un'ora,Lieferung in einer Stunde,Levering binnen een uur,
orderdetails.component,orderdetails.component,orderdetails.component,orderdetails.component,orderdetails.component,orderdetails.component,orderdetails.component,
Order,Order,Ordre,Ordenar,Ordine,Befehl,Bestellen,
order id,order id,numéro de commande,Solicitar ID,ID ordine,Auftragsnummer,Order ID,
order date,order date,date de commande,fecha de orden,data dell'ordine,Bestelldatum,besteldatum,
equipment,equipment,équipement,equipo,attrezzatura,Ausrüstung,apparatuur,
Cancel order,Cancel order,Annuler la commande,Cancelar orden,Annulla Ordine,Bestellung stornieren,Annuleer bestelling,
Change order,Change order,Change l'ordre,Cambia el orden,Cambiare ordine,Bestellung ändern,Verander bestelling,
page404.component,page404.component,page404.component,page404.component,page404.component,page404.component,page404.component,
addressdetailsknown.component,addressdetailsknown.component,addressdetailsknown.component,addressdetailsknown.component,addressdetailsknown.component,addressdetailsknown.component,addressdetailsknown.component,
Request connection,Request connection,Demander une connexion,Solicitar conexión,Richiedi connessione,Verbindung anfordern,Aansluiting aanvragen,
Your 'what3words' position is,Your 'what3words' position is,Votre position 'what3words' est,Su posición en 'what3words' es,"La tua posizione ""what3words"" è","Ihre ""what3words""-Position ist",Uw 'what3words'-positie is,
Before we arrange your connection can you confirm that we have the correct information.,Before we arrange your connection can you confirm that we have the correct information.,"Avant d'organiser votre connexion, pouvez-vous confirmer que nous disposons des informations correctes.","Antes de que organicemos su conexión, ¿puede confirmar que tenemos la información correcta?",Prima di organizzare la tua connessione puoi confermare che abbiamo le informazioni corrette.,"Bevor wir Ihre Verbindung arrangieren, können Sie bestätigen, dass wir die richtigen Informationen haben.","Voordat we uw aansluiting regelen, kunt u bevestigen dat we over de juiste gegevens beschikken.",
address,address,adresse,Dirección,indirizzo,die Anschrift,adres,
buiding type,buiding type,type de bâtiment,tipo de edificio,tipo edilizio,Gebäudetyp,type gebouw,
floor number,floor number,numéro d'étage,numero de piso,numero del piano,Stockwerk Nummer,verdieping nummer,
house number,house number,numéro de maison,número de casa,numero di casa,Hausnummer,huisnummer,
drop,drop,goutte,soltar,far cadere,fallen,druppel,
technology,technology,La technologie,tecnología,tecnologia,Technologie,technologie,
confirm information,confirm information,confirmer les informations,confirmar información,confermare le informazioni,Angaben bestätigen,informatie bevestigen,
addressdetailsnotknown.component,addressdetailsnotknown.component,addressdetailsnotknown.component,addressdetailsnotknown.component,addressdetailsnotknown.component,addressdetailsnotknown.component,addressdetailsnotknown.component,
Request connection,Request connection,Demander une connexion,Solicitar conexión,Richiedi connessione,Verbindung anfordern,Aansluiting aanvragen,
Your,Your,Ton,Su,Tuo,Dein,Uw,
position is,position is,le poste est,la posición es,posizione è,Stellung ist,positie is,
